id,word,language,form,type,category,lexical_category,lexical_class,uni_lemma,aoa_in_seconds,aoa
0,daddy (child's word),English (American),WG,word,people,other,other,daddy,29808000,345
1,mommy (child's word),English (American),WG,word,people,other,other,mommy,30240000,350
2,bye,English (American),WG,word,games_routines,other,other,bye,35164800,407
3,uh oh,English (American),WG,word,sounds,other,other,uh oh,36374400,421
4,hi,English (American),WG,word,games_routines,other,other,hi,37238400,431
5,ball,English (American),WG,word,toys,nouns,nouns,ball,37411200,433
6,dog,English (American),WG,word,animals,nouns,nouns,dog,38966400,451
7,no,English (American),WG,word,games_routines,other,other,no,39312000,455
8,woof woof,English (American),WG,word,sounds,other,other,woof woof,39916800,462
9,yum yum,English (American),WG,word,sounds,other,other,yum yum,41040000,475
10,baby,English (American),WG,word,people,other,other,baby,41212800,477
11,book,English (American),WG,word,toys,nouns,nouns,book,41990400,486
12,grrr,English (American),WG,word,sounds,other,other,grrr,42076800,487
13,moo,English (American),WG,word,sounds,other,other,moo,42076800,487
14,meow,English (American),WG,word,sounds,other,other,meow,42595200,493
15,banana,English (American),WG,word,food_drink,nouns,nouns,banana,42595200,493
16,vroom,English (American),WS,word,sounds,other,other,vroom,42595200,493
17,shoe,English (American),WG,word,clothing,nouns,nouns,shoe,42940800,497
18,duck,English (American),WS,word,animals,nouns,nouns,duck,43372800,502
19,bird,English (American),WS,word,animals,nouns,nouns,bird,43545600,504
20,eye,English (American),WS,word,body_parts,nouns,nouns,eye,43977600,509
21,nose,English (American),WS,word,body_parts,nouns,nouns,nose,44150400,511
22,balloon,English (American),WS,word,toys,nouns,nouns,balloon,44409600,514
23,ouch,English (American),WS,word,sounds,other,other,ouch,44496000,515
24,quack quack,English (American),WS,word,sounds,other,other,quack quack,44582400,516
25,car,English (American),WS,word,vehicles,nouns,nouns,car,44668800,517
26,hot,English (American),WS,word,descriptive_words,predicates,adjectives,hot,45014400,521
27,kitty,English (American),WS,word,animals,nouns,nouns,kitty,45100800,522
28,baa baa,English (American),WG,word,sounds,other,other,baa baa,45273600,524
29,juice,English (American),WS,word,food_drink,nouns,nouns,juice,45273600,524
30,night night,English (American),WS,word,games_routines,other,other,good night,45273600,524
31,grandma (child's word),English (American),WS,word,people,other,other,grandma,45360000,525
32,cat,English (American),WS,word,animals,nouns,nouns,cat,45532800,527
33,cookie,English (American),WS,word,food_drink,nouns,nouns,cookie,46396800,537
34,thank you,English (American),WS,word,games_routines,other,other,thank you,46483200,538
35,cheese,English (American),WS,word,food_drink,nouns,nouns,cheese,46569600,539
36,milk,English (American),WS,word,food_drink,nouns,nouns,milk,46569600,539
37,ear,English (American),WS,word,body_parts,nouns,nouns,ear,46569600,539
38,bath,English (American),WS,word,games_routines,other,other,bath,46569600,539
39,bubbles,English (American),WS,word,toys,nouns,nouns,bubbles,46828800,542
40,apple,English (American),WS,word,food_drink,nouns,nouns,apple,46915200,543
41,yes,English (American),WS,word,games_routines,other,other,yes,46915200,543
42,hat,English (American),WS,word,clothing,nouns,nouns,hat,47606400,551
43,grandpa (child's word),English (American),WS,word,people,other,other,grandpa,48038400,556
44,bottle,English (American),WS,word,household,nouns,nouns,bottle,48124800,557
45,hello,English (American),WS,word,games_routines,other,other,hello,48297600,559
46,shh/shush/hush,English (American),WS,word,games_routines,other,other,shh,48470400,561
47,fish (animal),English (American),WS,word,animals,nouns,nouns,fish,48643200,563
48,up,English (American),WS,word,locations,function_words,function_words,up,48643200,563
49,please,English (American),WS,word,games_routines,other,other,please,48729600,564
50,all gone,English (American),WS,word,descriptive_words,predicates,adjectives,all gone,48816000,565
51,truck,English (American),WS,word,vehicles,nouns,nouns,truck,48902400,566
52,bear,English (American),WS,word,animals,nouns,nouns,bear,49075200,568
53,cracker,English (American),WS,word,food_drink,nouns,nouns,cracker,49075200,568
54,peekaboo,English (American),WS,word,games_routines,other,other,peekaboo,49075200,568
55,water (beverage),English (American),WS,word,food_drink,nouns,nouns,water,49161600,569
56,owie/boo boo,English (American),WS,word,body_parts,nouns,nouns,owie,49507200,573
57,choo choo,English (American),WS,word,sounds,other,other,choo choo,49593600,574
58,diaper,English (American),WS,word,clothing,nouns,nouns,diaper,49852800,577
59,go,English (American),WS,word,action_words,predicates,verbs,go,50198400,581
60,cup,English (American),WS,word,household,nouns,nouns,cup,50284800,582
61,water (not beverage),English (American),WS,word,outside,nouns,nouns,water (not beverage),50544000,585
62,down,English (American),WS,word,locations,function_words,function_words,down,50630400,586
63,hair,English (American),WS,word,body_parts,nouns,nouns,hair,50716800,587
64,child's own name,English (American),WS,word,people,other,other,child's own name,51148800,592
65,cow,English (American),WS,word,animals,nouns,nouns,cow,51321600,594
66,more,English (American),WS,word,quantifiers,function_words,function_words,more,51321600,594
67,outside,English (American),WS,word,places,other,other,outside,51494400,596
68,spoon,English (American),WS,word,household,nouns,nouns,spoon,51667200,598
69,mine,English (American),WS,word,pronouns,function_words,function_words,mine,51667200,598
70,door,English (American),WS,word,furniture_rooms,nouns,nouns,door,51840000,600
71,eat,English (American),WS,word,action_words,predicates,verbs,eat,51926400,601
72,airplane,English (American),WS,word,vehicles,nouns,nouns,airplane,52012800,602
73,tree,English (American),WS,word,outside,nouns,nouns,tree,52012800,602
74,mouth,English (American),WS,word,body_parts,nouns,nouns,mouth,52099200,603
75,light,English (American),WS,word,household,nouns,nouns,light,52444800,607
76,horse,English (American),WS,word,animals,nouns,nouns,horse,52704000,610
77,belly button,English (American),WS,word,body_parts,nouns,nouns,belly button,52704000,610
78,flower,English (American),WS,word,outside,nouns,nouns,flower,52704000,610
79,blanket,English (American),WS,word,household,nouns,nouns,blanket,52790400,611
80,bunny,English (American),WS,word,animals,nouns,nouns,bunny,52876800,612
81,sock,English (American),WS,word,clothing,nouns,nouns,sock,53136000,615
82,boat,English (American),WS,word,vehicles,nouns,nouns,boat,53222400,616
83,bed,English (American),WS,word,furniture_rooms,nouns,nouns,bed,53308800,617
84,puppy,English (American),WS,word,animals,nouns,nouns,puppy,53481600,619
85,pig,English (American),WS,word,animals,nouns,nouns,pig,53568000,620
86,chair,English (American),WS,word,furniture_rooms,nouns,nouns,chair,53568000,620
87,moon,English (American),WS,word,outside,nouns,nouns,moon,53568000,620
88,bus,English (American),WS,word,vehicles,nouns,nouns,bus,53913600,624
89,foot,English (American),WS,word,body_parts,nouns,nouns,foot,5.40E+07,625
90,toe,English (American),WS,word,body_parts,nouns,nouns,toe,5.40E+07,625
91,train,English (American),WS,word,vehicles,nouns,nouns,train,54259200,628
92,bee,English (American),WS,word,animals,nouns,nouns,bee,54345600,629
93,cold,English (American),WS,word,descriptive_words,predicates,adjectives,cold,54432000,630
94,drink (beverage),English (American),WS,word,food_drink,nouns,nouns,drink,54518400,631
95,keys,English (American),WS,word,household,nouns,nouns,keys,54518400,631
96,telephone,English (American),WS,word,household,nouns,nouns,telephone,54518400,631
97,potty,English (American),WS,word,furniture_rooms,nouns,nouns,potty,54518400,631
98,hand,English (American),WS,word,body_parts,nouns,nouns,hand,54691200,633
99,drink (action),English (American),WS,word,action_words,predicates,verbs,drink,54777600,634
100,kiss,English (American),WS,word,action_words,predicates,verbs,kiss,54777600,634
101,pet's name,English (American),WS,word,people,other,other,pet's name,54864000,635
102,bug,English (American),WS,word,animals,nouns,nouns,bug,55209600,639
103,monkey,English (American),WS,word,animals,nouns,nouns,monkey,55296000,640
