index,word,pronunciation,phones,ipa,structure,num_vowels,ipa_short
71,a,AH0,['AH'],['ə'],['v'],1,ə
72,a,EY1,['EY'],['eɪ'],['v'],1,eə
78,aa,EY2 EY1,"['EY', 'EY']","['eɪ', 'eɪ']","['v', 'v']",2,eəeə
93,aaron,EH1 R AH0 N,"['EH', 'R', 'AH', 'N']","['ɛ', 'ɹ', 'ə', 'n']","['v', 'c', 'v', 'c']",2,ɛɹən
103,ab,AE1 B,"['AE', 'B']","['æ', 'b']","['v', 'c']",1,æb
150,abbey,AE1 B IY0,"['AE', 'B', 'IY']","['æ', 'b', 'i']","['v', 'c', 'v']",2,æbi
169,abby,AE1 B IY0,"['AE', 'B', 'IY']","['æ', 'b', 'i']","['v', 'c', 'v']",2,æbi
211,abe,EY1 B,"['EY', 'B']","['eɪ', 'b']","['v', 'c']",1,eəb
291,able,EY1 B AH0 L,"['EY', 'B', 'AH', 'L']","['eɪ', 'b', 'ə', 'l']","['v', 'c', 'v', 'c']",2,eəbəl
310,aboard,AH0 B AO1 R D,"['AH', 'B', 'AO', 'R', 'D']","['ə', 'b', 'ɔ', 'ɹ', 'd']","['v', 'c', 'v', 'c', 'c']",2,əbɑɹd
353,about,AH0 B AW1 T,"['AH', 'B', 'AW', 'T']","['ə', 'b', 'aʊ', 't']","['v', 'c', 'v', 'c']",2,əbaʊt
355,above,AH0 B AH1 V,"['AH', 'B', 'AH', 'V']","['ə', 'b', 'ə', 'v']","['v', 'c', 'v', 'c']",2,əbəv
392,abroad,AH0 B R AO1 D,"['AH', 'B', 'R', 'AO', 'D']","['ə', 'b', 'ɹ', 'ɔ', 'd']","['v', 'c', 'c', 'v', 'c']",2,əbɹɑd
418,absent,AE1 B S AH0 N T,"['AE', 'B', 'S', 'AH', 'N', 'T']","['æ', 'b', 's', 'ə', 'n', 't']","['v', 'c', 'c', 'v', 'c', 'c']",2,æbsənt
446,absorb,AH0 B Z AO1 R B,"['AH', 'B', 'Z', 'AO', 'R', 'B']","['ə', 'b', 'z', 'ɔ', 'ɹ', 'b']","['v', 'c', 'c', 'v', 'c', 'c']",2,əbzɑɹb
469,abstract,AE0 B S T R AE1 K T,"['AE', 'B', 'S', 'T', 'R', 'AE', 'K', 'T']","['æ', 'b', 's', 't', 'ɹ', 'æ', 'k', 't']","['v', 'c', 'c', 'c', 'c', 'v', 'c', 'c']",2,æbstɹækt
470,abstract,AE1 B S T R AE2 K T,"['AE', 'B', 'S', 'T', 'R', 'AE', 'K', 'T']","['æ', 'b', 's', 't', 'ɹ', 'æ', 'k', 't']","['v', 'c', 'c', 'c', 'c', 'v', 'c', 'c']",2,æbstɹækt
476,absurd,AH0 B S ER1 D,"['AH', 'B', 'S', 'ER', 'D']","['ə', 'b', 's', 'er', 'd']","['v', 'c', 'c', 'v', 'c']",2,əbsəɹd
