,word,count
0,you,548549
1,the,443839
2,a,371082
3,it,330306
4,i,320166
5,and,265681
6,that,236041
7,what,191888
8,no,187414
9,to,183557
10,oh,164277
11,is,163220
12,yeah,160471
13,in,154439
14,do,151742
15,on,148213
16,nan,148129
17,this,138123
18,there,125545
19,one,115275
20,we,109478
21,that's,108398
22,don't,105435
23,he,101671
24,are,98687
25,it's,97676
26,go,96547
27,your,95261
28,can,92389
29,like,90474
30,have,81981
31,of,79555
32,yes,78823
33,not,77412
34,here,76017
35,look,73943
36,okay,71680
37,see,71497
38,me,69862
39,put,69354
40,know,66202
41,got,65193
42,right,64979
43,get,64364
44,with,63952
45,my,63524
46,up,63372
47,now,62829
48,for,61497
49,they,61027
50,what's,58180
51,want,56286
52,was,54869
53,all,54834
54,did,53706
55,going,52970
56,think,52748
57,some,52105
58,at,51367
59,wanna,50624
60,she,49988
61,just,49834
62,well,47283
63,i'm,47095
64,then,46107
65,come,45649
66,them,45300
67,so,43924
68,but,43690
69,be,43471
70,you're,43375
71,where,42575
72,little,42360
73,um,41924
74,out,41747
75,because,41099
76,gonna,40590
77,down,40170
78,good,37686
79,big,34361
80,he's,33714
81,her,32995
82,how,31753
83,two,31551
84,there's,31447
85,when,31360
86,why,31221
87,more,30953
88,mummy,30414
89,if,29618
90,baby,28666
91,his,28664
92,mhm,28524
93,say,28379
94,back,28362
95,can't,27858
96,about,26594
97,him,26411
98,very,26251
99,off,26072
100,does,26065
101,daddy,25585
102,has,25546
103,eat,25296
104,play,25152
105,let's,25059
106,too,25043
107,where's,24602
108,doing,24536
109,make,24484
110,uh,24196
111,didn't,23957
112,over,23842
113,hm,23665
114,who,23423
115,huh,23154
116,isn't,23063
117,or,22941
118,these,22710
119,take,22037
120,mommy,21906
121,those,20748
122,would,20515
123,they're,20337
124,hafta,20221
125,i'll,19938
126,nice,19243
127,www,18937
128,again,18630
129,car,18394
130,ah,18389
131,thomas,17827
132,another,17730
133,please,17646
134,were,17273
135,had,17138
136,will,17025
137,doesn't,16760
138,something,16697
139,other,16682
140,book,16544
141,boy,15943
142,sit,15818
143,really,15682
144,she's,15480
145,shall,15462
146,bit,15234
147,way,15091
148,time,15066
149,could,14911
150,house,14857
151,let,14804
152,goes,14710
153,tell,14567
154,mm,14493
155,else,14340
156,three,14338
157,an,14265
158,you've,14151
159,alright,14096
160,said,14061
161,gone,13960
162,need,13699
163,done,13481
164,away,13403
165,from,13359
166,give,13329
167,red,12925
168,who's,12859
169,went,12423
170,blue,12396
171,as,12340
172,hey,12267
173,water,11889
174,we'll,11867
175,girl,11798
176,read,11695
177,things,11596
178,any,11504
179,dear,11215
180,we're,11156
181,turn,11032
182,man,10987
183,remember,10818
184,green,10812
185,looks,10743
186,find,10701
187,better,10477
188,uhhuh,10416
189,open,10277
190,train,10189
191,home,10154
192,hello,9900
193,fraser,9822
194,four,9795
195,here's,9775
196,aren't,9766
197,today,9660
198,watch,9648
199,box,9616
200,help,9484
201,thing,9424
202,bed,9383
203,haven't,9196
204,maybe,9195
205,called,9161
206,coming,9046
207,won't,8985
208,ball,8865
209,which,8821
210,yellow,8751
211,darling,8675
212,into,8586
213,still,8563
214,first,8532
215,door,8526
216,thank,8502
217,juice,8484
218,mean,8433
219,head,8372
220,round,8370
221,cat,8358
222,milk,8294
223,i've,8218
224,been,8217
225,much,8199
226,try,8090
227,day,8008
228,five,7937
229,through,7920
230,wait,7869
231,food,7852
232,dog,7805
233,drink,7764
234,should,7754
235,hold,7676
236,people,7633
237,around,7611
238,color,7604
239,hair,7545
240,show,7543
241,we've,7530
242,mom,7518
243,getting,7488
244,only,7474
245,stop,7439
246,might,7430
247,thankyou,7408
248,next,7389
249,name,7384
250,chair,7343
251,mama,7332
252,toys,7313
253,hi,7291
254,funny,7278
255,dis,7271
256,kind,7261
257,school,7203
258,bear,7192
259,hat,7153
260,truck,7151
261,orange,7098
262,sure,7084
263,our,7047
264,ready,7039
265,playing,6947
266,work,6852
